급식,"food service [The act of providing food to certain recipients at an institution, or such a meal.]",기관에서 일정한 대상에게 식사를 주는 것. 또는 그 식사.,ᄀ
패거리,gang [(disparaging) A group of people who hang around together.],(낮잡아 이르는 말로) 같이 어울려 다니는 사람들의 무리.,ㅍ
여느,"ordinary; common [Usual, not special.]",특별하지 않은 그 밖의.,ㅇ
굴뚝,"chimney [A pipe above a house or building, which allows the smoke out when stoking up fire.]","집이나 건물 위에 솟아 있는, 불을 땔 때 연기가 밖으로 빠져나가도록 하는 관.",ᄀ
기어오르다,climb up; clamber up [To climb with difficulty a place that is tough to climb.],오르기 힘든 곳을 어렵게 올라가다. ,ᄀ
벽장,"built-in closet [A closet built by making a space inside the wall and installing doors on it, in which clothes, bedclothes, etc., can be stored.]",벽을 뚫어서 문을 달고 그 안에 옷이나 이불 등을 넣을 수 있도록 만든 장.,ㅂ
물씬,1. heavily [A word describing a smell or energy forming or feeling suddenly and strongly.],냄새나 기운이 갑자기 심하게 풍기거나 느껴지는 모양.,ㅁ
늘어놓다,4. harp on the same string; speak at length [To speak or write something unimportant in a lengthy manner.],중요하지 않은 말이나 글 등을 길게 말하거나 쓰다. ,ㄴ
매사,everything [Each and every matter.],하나하나의 모든 일.,ㅁ
협의회,meeting; conference; council [A meeting held by many people to have a discussion.],여러 사람이 모여 의논하기 위해 여는 모임.,ㅎ
불량배,"gang member [A person who misbehaves or has a belligerent personality and roams around with others as a group, harming other people.]",행실이나 성품이 좋지 않아서 무리 지어 다니며 남에게 해를 끼치는 사람.,ㅂ
앞지르다,"1. pass; outstrip; outrun [To occupy a place in front of others by going faster than them, or do a certain act ahead of others.]",다른 사람보다 빨리 가서 앞을 차지하거나 어떤 행동을 먼저 하다.,ㅇ
내뱉다,"2. snap out [To speak up about what has been in one's mind, because one dislikes something or someone.]",못마땅하게 여겨 마음속에 있었던 말을 갑자기 해 버리다. ,ㄴ
홱,"1. quickly without hesitation [A word describing the manner of doing a certain act swiftly, vigorously, and without hesitation.]",어떤 행동을 망설이지 않고 빠르고 시원스럽게 해내는 모양.,ㅎ
근대,1. modern times [A past period close to contemporary times when the features of the modern world started to emerge.],현대의 특징이 나타나기 시작한 가까운 과거의 시대.,ᄀ
버럭,suddenly; abruptly [A word describing one suddenly losing one's temper or yelling loudly.],몹시 불쾌하여 갑자기 소리를 지르거나 화를 내는 모양.,ㅂ
